video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
7ajACc7ul4k,UCaXkIU1QidjPwiAYu6GcHjg,infectious disease expert half of america is likely to catch coronavirus  the th hour  msnbc,MS NOW,News & Politics,none,443801,2471,0,1211,2020-03-12T04:26:29Z,"News,Republicans,National Security,Health,Healthcare,White House,Donald Trump,Best of last night,Global Health,Coronavirus,The 11th Hour with Brian Williams,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,11th hour,11th hour msnbc,sickness,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak",PT3M20S,hd,True,https://i.ytimg.com/vi/7ajACc7ul4k/default.jpg,https://www.youtube.com/watch?v=7ajACc7ul4k
UX8fSnWIgvc,UCaXkIU1QidjPwiAYu6GcHjg,global pandemics expert coronavirus response needs a longterm strategy  the last word  msnbc,MS NOW,News & Politics,none,26272,298,0,97,2020-05-06T04:17:36Z,"White House,Donald Trump,Coronavirus,The Last Word with Lawrence O'Donnell,Last Word,The Last Word,Lawrence O'Donnell,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,lawrence odonnell,lawrence odonnell live,news,social distancing,virus protection,COVID-19,pandemic,outbreak,coronavirus pandemic,coronavirus outbreak,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT2M56S,hd,True,https://i.ytimg.com/vi/UX8fSnWIgvc/default.jpg,https://www.youtube.com/watch?v=UX8fSnWIgvc
FFPBePaQKow,UCaXkIU1QidjPwiAYu6GcHjg,why antibody tests will be crucial to help fight coronavirus  the th hour  msnbc,MS NOW,News & Politics,none,20607,162,0,33,2020-04-08T05:32:28Z,"News,National Security,Health,Healthcare,White House,Economy,Brian Williams,Donald Trump,Best of last night,Global Health,Jobs,Wall Street,Coronavirus,Fight Coronavirus,Antibody Test,hydroxychloroquine,Dr. Amesh Adalja,coronavirus pandemic,covid-19 updates,covid-19 outbreak,covid-19 news,current events,coronavirus us,coronavirus outbreak,coronavirus explained,social distancing,coronavirus latest news,world news,coronavirus outbreak update",PT1M48S,hd,True,https://i.ytimg.com/vi/FFPBePaQKow/default.jpg,https://www.youtube.com/watch?v=FFPBePaQKow
_fTHWbm9Kb8,UCaXkIU1QidjPwiAYu6GcHjg,chris hayes puts the scale of coronavirus deaths in perspective  all in  msnbc,MS NOW,News & Politics,none,112854,2276,0,414,2020-07-28T01:42:14Z,"Health,White House,Ukraine,Donald Trump,Chris Hayes Commentary,Coronavirus,All In With Chris Hayes,Coronavirus Deaths,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona,COVID fatality rate",PT3M24S,hd,True,https://i.ytimg.com/vi/_fTHWbm9Kb8/default.jpg,https://www.youtube.com/watch?v=_fTHWbm9Kb8
w1dtEUXsFIk,UCaXkIU1QidjPwiAYu6GcHjg,us coronavirus deaths pass  mark  msnbc,MS NOW,News & Politics,none,232788,1462,0,1649,2020-05-27T17:38:31Z,"MTP Daily,Katy Tur,MSNBC,NBC News,us news,top stories,pop culture,political news,msnbc live,coronavirus,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT1M45S,hd,True,https://i.ytimg.com/vi/w1dtEUXsFIk/default.jpg,https://www.youtube.com/watch?v=w1dtEUXsFIk
LwJTTpHNXlE,UCaXkIU1QidjPwiAYu6GcHjg,frontline releases new documentary coronavirus pandemic  morning joe  msnbc,MS NOW,News & Politics,none,163211,1241,0,449,2020-04-20T15:00:24Z,"News,Donald Trump,Best of last night,Coronavirus,Morning Joe,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona,Frontline Release,New Documentary",PT11M53S,hd,True,https://i.ytimg.com/vi/LwJTTpHNXlE/default.jpg,https://www.youtube.com/watch?v=LwJTTpHNXlE
c8TltWFwKuA,UCaXkIU1QidjPwiAYu6GcHjg,cuomo on coronavirus this is a character test for all of us  msnbc,MS NOW,News & Politics,none,63949,536,0,289,2020-03-17T17:59:49Z,"Andrew Cuomo,U.S. news,Health,Coronavirus,msnbc,NBC News,news,breaking news,us news,world news,msnbc live,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,illness,center for disease control,safety,symptoms,sickness,virus protection,COVID-19,pandemic,outbreak,coronavirus pandemic,coronavirus outbreak,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,Cuomo On Coronavirus,Character Test",PT1M15S,hd,True,https://i.ytimg.com/vi/c8TltWFwKuA/default.jpg,https://www.youtube.com/watch?v=c8TltWFwKuA
yOFXVdIwH6s,UCaXkIU1QidjPwiAYu6GcHjg,dr deboisblanc hospitals cant rehearse for coronavirus pandemic  the last word  msnbc,MS NOW,News & Politics,none,12969,88,0,14,2020-04-10T04:20:27Z,"New Orleans,Hurricane Katrina,Louisiana,Coronavirus,The Last Word with Lawrence O'Donnell,Last Word,The Last Word,Lawrence O'Donnell,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,lawrence odonnell,lawrence odonnell live,news,Dr. DeBoisblanc,Coronavirus Pandemic,coronavirus news,coronavirus update,coronavirus outbreak,covid-19 news,covid-19 updates,virus protection,coronavirus prevention,covid 19",PT2M45S,hd,True,https://i.ytimg.com/vi/yOFXVdIwH6s/default.jpg,https://www.youtube.com/watch?v=yOFXVdIwH6s
yobnaFCOR7g,UCaXkIU1QidjPwiAYu6GcHjg,nyc doctor on coronavirus feels like a tsunami is about to hit us  the th hour  msnbc,MS NOW,News & Politics,none,15011,176,0,45,2020-03-31T05:14:08Z,"News,National Security,Health,Healthcare,Brian Williams,New York,Donald Trump,Best of last night,Global Health,Coronavirus,The 11th Hour with Brian Williams,The 11th Hour,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,Brian Williams msnbc,11th hour,11th hour msnbc,news,nurse,covid19,doctor,nyc",PT1M34S,hd,True,https://i.ytimg.com/vi/yobnaFCOR7g/default.jpg,https://www.youtube.com/watch?v=yobnaFCOR7g
5QQBUqzU5II,UCaXkIU1QidjPwiAYu6GcHjg,trump hints at early end to coronavirus restrictions as pandemic accelerates  the th hour  msnbc,MS NOW,News & Politics,none,1348928,9686,0,6957,2020-03-24T05:20:19Z,"News,Republicans,National Security,Health,Healthcare,White House,Brian Williams,Best of last night,Global Health,Trump Impeachment Inquiry,Coronavirus,The 11th Hour with Brian Williams,The 11th Hour,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,11th hour,11th hour msnbc,COVID-19,pandemic,outbreak,coronavirus pandemic,coronavirus outbreak,coronavirus prevention,covid-19 news,covid-19 updates,covid-19 outbreak,Trump",PT7M7S,hd,True,https://i.ytimg.com/vi/5QQBUqzU5II/default.jpg,https://www.youtube.com/watch?v=5QQBUqzU5II
etYI26qA1Cs,UCaXkIU1QidjPwiAYu6GcHjg,when it comes to flying during coronavirus crisis preparation matters  the last word  msnbc,MS NOW,News & Politics,none,21294,146,0,16,2020-03-13T04:19:42Z,"Coronavirus,The Last Word with Lawrence O'Donnell,Last Word,The Last Word,Lawrence O'Donnell,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,lawrence odonnell,lawrence odonnell live,news,sickness,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,coronavirus news,coronavirus latest news",PT1M51S,hd,True,https://i.ytimg.com/vi/etYI26qA1Cs/default.jpg,https://www.youtube.com/watch?v=etYI26qA1Cs
FOr1neUb5QI,UCaXkIU1QidjPwiAYu6GcHjg,redlener those downplaying coronavirus are disconnected from reality  the th hour  msnbc,MS NOW,News & Politics,none,696321,3492,0,3037,2020-04-17T05:02:28Z,"News,Republicans,National Security,Health,White House,Brian Williams,Best of last night,Global Health,Science,Trump Impeachment Inquiry,Coronavirus,The 11th Hour with Brian Williams,The 11th Hour,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,Liberal News,Brian Williams msnbc,11th hour,11th hour msnbc,Redlener,Downplaying Coronavirus,severity of the coronavirus,Pandemic,Dr. Irwin Redlener,COVID-19,donald trump,coronavirus outbreak",PT4M37S,hd,True,https://i.ytimg.com/vi/FOr1neUb5QI/default.jpg,https://www.youtube.com/watch?v=FOr1neUb5QI
R_CLY5SnS5o,UCaXkIU1QidjPwiAYu6GcHjg,michael osterholm no question there will be more coronavirus infections  the last word  msnbc,MS NOW,News & Politics,none,19276,260,0,45,2020-05-01T04:52:08Z,"News,Best of last night,Coronavirus,The Last Word with Lawrence O'Donnell,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT1M23S,hd,True,https://i.ytimg.com/vi/R_CLY5SnS5o/default.jpg,https://www.youtube.com/watch?v=R_CLY5SnS5o
7llEqsZSY6g,UCaXkIU1QidjPwiAYu6GcHjg,white house tries to convince millennials to take coronavirus seriously  mtp daily  msnbc,MS NOW,News & Politics,none,26233,203,0,116,2020-03-18T23:06:33Z,"First Read,Coronavirus - Health Tips,MTP Daily,MTP Daily with Chuck Todd,Chuck Todd,MSNBC,MSNBC News,MSNBC Live,US News,Current Events,Progressive News,news,chuck todd live,msnbc chuck todd,chuck todd msnbc,White House,Convince Millennials,Yale School,Dr. James Hamblin,millennials,symptoms of COVID-19,COVID-19,pandemic,outbreak,coronavirus pandemic,coronavirus outbreak,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates",PT1M38S,hd,True,https://i.ytimg.com/vi/7llEqsZSY6g/default.jpg,https://www.youtube.com/watch?v=7llEqsZSY6g
szORuX9KVc4,UCaXkIU1QidjPwiAYu6GcHjg,rosy outlook from trump on coronavirus pandemics deadliest day in us  the th hour  msnbc,MS NOW,News & Politics,none,1025519,6160,0,4476,2020-04-16T04:56:13Z,"News,Republicans,National Security,Health,Healthcare,Politics,White House,Brian Williams,Donald Trump,Best of last night,Global Health,Coronavirus,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT8M45S,hd,True,https://i.ytimg.com/vi/szORuX9KVc4/default.jpg,https://www.youtube.com/watch?v=szORuX9KVc4
3x5-AbdB-Bk,UCaXkIU1QidjPwiAYu6GcHjg,coronavirus pandemic highlights environmental injustice in trump era  msnbc,MS NOW,News & Politics,none,44382,562,0,108,2020-03-31T02:19:49Z,"Culture,Flint,Environment,Coronavirus,msnbc,MSNBC,news,breaking news,us news,world news,politics,current events,top stories,pop culture,liberal,MSNBC live,NBC News,business,health,progressive,The Beat with Ari Melber,Ari Melber,ari melber msnbc,msnbc live,ari melber live",PT7M4S,hd,True,https://i.ytimg.com/vi/3x5-AbdB-Bk/default.jpg,https://www.youtube.com/watch?v=3x5-AbdB-Bk
KTaMiWm6Mdk,UCaXkIU1QidjPwiAYu6GcHjg,coronavirus outbreak empties mississippi capitol  rachel maddow  msnbc,MS NOW,News & Politics,none,172259,2949,0,857,2020-07-09T05:40:11Z,"News,Republicans,Mississippi,Health,Politics,Best of last night,Science,Coronavirus,The Rachel Maddow Show,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT3M15S,hd,True,https://i.ytimg.com/vi/KTaMiWm6Mdk/default.jpg,https://www.youtube.com/watch?v=KTaMiWm6Mdk
qlxsHz1YfMA,UCaXkIU1QidjPwiAYu6GcHjg,daycare centers begin to reopen with coronavirus precautions amid pandemic  msnbc,MS NOW,News & Politics,none,8210,60,0,56,2020-06-12T18:30:58Z,"Coronavirus,msnbc,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,quarantine,social distancing,virus protection,coronavirus outbreak,COVID-19,pandemic,coronavirus prevention,covid-19 news,NBC News,nbc,news,us news,Rehema Ellis,childcare,daycare,day care,child care,daycare coronavirus,dependent care,childcare coronavirus,child care coronavirus,covid 19 daycare,covid 19 child care,coronavirus restrictions",PT2M25S,hd,True,https://i.ytimg.com/vi/qlxsHz1YfMA/default.jpg,https://www.youtube.com/watch?v=qlxsHz1YfMA
